file,verdict,note
0430,,auto:water_too_small water_frac=0.13622 score=0.8607
2554,,auto:water_too_small water_frac=0.0484 score=0.861
1980,,auto:water_too_small water_frac=0.05253 score=0.8619
2652,,auto:water_too_small water_frac=0.05689 score=0.8622
2181,,auto:water_too_small water_frac=0.04844 score=0.8626
0187,,auto:water_too_small water_frac=0.14907 score=0.8627
2362,,auto:water_too_small water_frac=0.00693 score=0.8635
0949,,auto:water_too_small water_frac=0.01501 score=0.8649
1191,,auto:water_too_small water_frac=0.04259 score=0.8659
0361,,auto:water_too_small water_frac=0.09229 score=0.8678
2358,,auto:water_too_small water_frac=0.04693 score=0.8678
1872,,auto:water_too_small water_frac=0.06802 score=0.8683
1256,,auto:water_too_small water_frac=0.08026 score=0.8695
2080,,auto:water_too_small water_frac=0.10473 score=0.8696
1890,,auto:water_too_small water_frac=0.09095 score=0.8699
1696,,auto:water_too_small water_frac=0.07968 score=0.8706
2055,,auto:water_too_small water_frac=0.1053 score=0.8712
1953,,auto:water_too_small water_frac=0.095 score=0.8714
2852,,auto:water_too_small water_frac=0.06779 score=0.8715
0970,,auto:water_too_small water_frac=0.14679 score=0.8717
0383,,auto:water_too_small water_frac=0.08898 score=0.8721
2409,,auto:water_too_small water_frac=0.10074 score=0.8723
0428,,auto:water_too_small water_frac=0.06534 score=0.8732
2379,,auto:water_too_small water_frac=0.04072 score=0.8743
1783,,auto:water_too_small water_frac=0.0684 score=0.8744
1913,,auto:water_too_small water_frac=0.08453 score=0.8754
1195,,auto:water_too_small water_frac=0.08217 score=0.8765
0876,,auto:water_too_small water_frac=0.10398 score=0.8768
0905,,auto:water_too_small water_frac=0.10792 score=0.8769
2467,,auto:water_too_small water_frac=0.05534 score=0.8786
2004,,auto:water_too_small water_frac=0.01736 score=0.8793
1396,,auto:water_too_small water_frac=0.04675 score=0.881
1731,,auto:water_too_small water_frac=0.13363 score=0.8823
0300,,auto:water_too_small water_frac=0.01021 score=0.8825
1744,,auto:water_too_small water_frac=0.11738 score=0.8825
1021,,auto:water_too_small water_frac=0.04482 score=0.8831
0918,,auto:water_too_small water_frac=0.06453 score=0.8832
2800,,auto:water_too_small water_frac=0.13473 score=0.8837
1017,,auto:water_too_small water_frac=0.13157 score=0.8842
2908,,auto:water_too_small water_frac=0.00332 score=0.8847
1979,,auto:water_too_small water_frac=0.07864 score=0.8852
0446,,auto:water_too_small water_frac=0.05633 score=0.8866
1354,,auto:water_too_small water_frac=0.14626 score=0.8866
2620,,auto:water_too_small water_frac=0.07939 score=0.8878
0238,,auto:water_too_small water_frac=0.10826 score=0.8882
2297,,auto:water_too_small water_frac=0.10755 score=0.8882
0375,,auto:water_too_small water_frac=0.05881 score=0.8883
2221,,auto:water_too_small water_frac=0.07166 score=0.8886
0402,,auto:water_too_small water_frac=0.08511 score=0.8889
1193,,auto:water_too_small water_frac=0.11998 score=0.8889
0763,,auto:water_too_small water_frac=0.09643 score=0.8893
1123,,auto:water_too_small water_frac=0.12566 score=0.8893
1602,,auto:water_too_large water_frac=0.95298 score=0.8905
2111,,auto:water_too_small water_frac=0.09855 score=0.8906
0299,,auto:water_too_small water_frac=0.00317 score=0.8907
1401,,auto:water_too_small water_frac=0.11368 score=0.8907
0887,,auto:water_too_small water_frac=0.00904 score=0.8913
1932,,auto:water_too_small water_frac=0.073 score=0.8914
0306,,auto:water_too_small water_frac=0.14179 score=0.8916
1025,,auto:water_too_small water_frac=0.04921 score=0.8918
1102,,auto:water_too_small water_frac=0.07644 score=0.892
1284,,auto:water_too_small water_frac=0.13842 score=0.893
2705,,auto:water_too_small water_frac=0.13441 score=0.8935
1152,,auto:water_too_small water_frac=0.11328 score=0.8936
0570,,auto:water_too_small water_frac=0.0983 score=0.894
1173,,auto:water_too_small water_frac=0.08365 score=0.8942
2045,,auto:water_too_small water_frac=0.12374 score=0.8945
2427,,auto:water_too_small water_frac=0.08196 score=0.8948
1394,,auto:water_too_small water_frac=0.12322 score=0.8956
1426,,auto:water_too_small water_frac=0.0262 score=0.8959
2229,,auto:water_too_small water_frac=0.14516 score=0.8959
1088,,auto:water_too_small water_frac=0.13539 score=0.8966
1215,,auto:water_too_small water_frac=0.14215 score=0.8967
0992,,auto:water_too_small water_frac=0.14932 score=0.897
2663,,auto:water_too_small water_frac=0.12927 score=0.8973
2201,,auto:water_too_small water_frac=0.07298 score=0.8974
1633,,auto:water_too_small water_frac=0.07202 score=0.8976
0054,,auto:water_too_small water_frac=0.09306 score=0.8982
2919,,auto:water_too_small water_frac=0.13904 score=0.8988
1623,,auto:water_too_small water_frac=0.14221 score=0.899
2123,,auto:water_too_large water_frac=0.93748 score=0.8996
1441,,auto:water_too_small water_frac=0.14738 score=0.8997
2470,,auto:water_too_small water_frac=0.04502 score=0.9004
2615,,auto:water_too_small water_frac=0.14105 score=0.9006
1167,,auto:water_too_small water_frac=0.04826 score=0.9009
0835,,auto:water_too_small water_frac=0.13108 score=0.9012
1919,,auto:water_too_small water_frac=0.09874 score=0.9012
1726,,auto:water_too_small water_frac=0.1049 score=0.9013
2188,,auto:water_too_small water_frac=0.13421 score=0.9016
0313,,auto:water_too_small water_frac=0.00736 score=0.9021
0407,,auto:water_too_small water_frac=0.08661 score=0.9022
1039,,auto:water_too_small water_frac=0.10362 score=0.9035
0908,,auto:water_too_small water_frac=0.13135 score=0.9036
2484,,auto:water_too_small water_frac=0.08309 score=0.9041
1325,,auto:water_too_small water_frac=0.11018 score=0.905
0591,,auto:water_too_small water_frac=0.11194 score=0.9051
2994,,auto:water_too_small water_frac=0.02636 score=0.9051
2321,,auto:water_too_small water_frac=0.03079 score=0.9056
1733,,auto:water_too_small water_frac=0.08308 score=0.9057
0584,,auto:water_too_small water_frac=0.09785 score=0.9072
2210,,auto:water_too_small water_frac=0.08598 score=0.9079
2252,,auto:water_too_small water_frac=0.11164 score=0.9086
2550,,auto:water_too_small water_frac=0.12942 score=0.9088
2189,,auto:water_too_small water_frac=0.14459 score=0.909
2422,,auto:water_too_small water_frac=0.12623 score=0.9105
2757,,auto:water_too_small water_frac=0.12101 score=0.9109
0898,,auto:water_too_small water_frac=0.0757 score=0.911
1709,,auto:water_too_small water_frac=0.1434 score=0.9111
0227,,auto:water_too_large water_frac=0.96937 score=0.9118
0459,,auto:water_too_small water_frac=0.12955 score=0.912
2318,,auto:water_too_small water_frac=0.02935 score=0.912
1408,,auto:water_too_small water_frac=0.13878 score=0.9121
0248,,auto:water_too_large water_frac=0.93859 score=0.9128
2260,,auto:water_too_small water_frac=0.11569 score=0.9128
1558,,auto:water_too_small water_frac=0.14734 score=0.9136
2133,,auto:water_too_small water_frac=0.05522 score=0.9137
2094,,auto:water_too_small water_frac=0.12282 score=0.914
2998,,auto:water_too_small water_frac=0.10678 score=0.9142
0358,,auto:water_too_small water_frac=0.04745 score=0.9144
1852,,auto:water_too_small water_frac=0.14979 score=0.9147
1806,,auto:water_too_small water_frac=0.08335 score=0.9149
0075,,auto:water_too_small water_frac=0.07112 score=0.915
1436,,auto:water_too_small water_frac=0.0809 score=0.9154
2928,,auto:water_too_small water_frac=0.10685 score=0.9155
1301,,auto:water_too_small water_frac=0.0693 score=0.9157
0843,,auto:water_too_small water_frac=0.07223 score=0.9158
0297,,auto:water_too_small water_frac=0.05625 score=0.9159
1228,,auto:water_too_small water_frac=0.14269 score=0.9159
1975,,auto:water_too_small water_frac=0.11905 score=0.9159
2150,,auto:water_too_small water_frac=0.06519 score=0.9162
0841,,auto:water_too_small water_frac=0.10693 score=0.9163
0784,,auto:water_too_small water_frac=0.13644 score=0.9165
1129,,auto:water_too_small water_frac=0.11352 score=0.9167
0419,,auto:water_too_small water_frac=0.05339 score=0.9181
1945,,auto:water_too_large water_frac=0.92424 score=0.9181
2065,,auto:water_too_small water_frac=0.09519 score=0.9183
2277,,auto:water_too_small water_frac=0.07396 score=0.9184
1865,,auto:water_too_small water_frac=0.11181 score=0.9186
2981,,auto:water_too_small water_frac=0.07595 score=0.9188
1150,,auto:water_too_small water_frac=0.06315 score=0.9192
2992,,auto:water_too_small water_frac=0.13022 score=0.9192
0287,,auto:water_too_small water_frac=0.00679 score=0.92
2117,,auto:water_too_small water_frac=0.14136 score=0.9201
1645,,auto:water_too_small water_frac=0.13486 score=0.9203
1554,,auto:water_too_small water_frac=0.10817 score=0.9204
1306,,auto:water_too_small water_frac=0.11749 score=0.9207
2990,,auto:water_too_small water_frac=0.06628 score=0.9208
0929,,auto:water_too_small water_frac=0.13144 score=0.9216
0687,,auto:water_too_small water_frac=0.12408 score=0.9221
2135,,auto:water_too_small water_frac=0.12736 score=0.9223
0435,,auto:water_too_small water_frac=0.10764 score=0.9224
2060,,auto:water_too_large water_frac=0.96465 score=0.9224
0923,,auto:water_too_small water_frac=0.09152 score=0.9228
1765,,auto:water_too_small water_frac=0.09894 score=0.9231
1136,,auto:water_too_large water_frac=0.94874 score=0.9232
0211,,auto:water_too_small water_frac=0.13088 score=0.9234
2736,,auto:water_too_small water_frac=0.0042 score=0.9237
1324,,auto:water_too_small water_frac=0.13403 score=0.9241
2062,,auto:water_too_small water_frac=0.14514 score=0.9242
1142,,auto:water_too_small water_frac=0.11216 score=0.9245
2363,,auto:water_too_small water_frac=0.09332 score=0.9247
1162,,auto:water_too_large water_frac=0.94996 score=0.9248
1062,,auto:water_too_small water_frac=0.14034 score=0.925
1079,,auto:water_too_small water_frac=0.07772 score=0.925
1612,,auto:water_too_small water_frac=0.141 score=0.925
2431,,auto:water_too_small water_frac=0.11048 score=0.9254
1543,,auto:water_too_small water_frac=0.13447 score=0.9257
1637,,auto:water_too_small water_frac=0.13531 score=0.9257
2605,,auto:water_too_small water_frac=0.06973 score=0.9259
0599,,auto:water_too_small water_frac=0.09879 score=0.9261
1007,,auto:water_too_large water_frac=0.93397 score=0.9261
2121,,auto:water_too_small water_frac=0.14354 score=0.9261
0869,,auto:water_too_small water_frac=0.11853 score=0.9264
0191,,auto:water_too_large water_frac=0.97654 score=0.9266
0519,,auto:water_too_small water_frac=0.1245 score=0.9266
0726,,auto:water_too_small water_frac=0.12641 score=0.9269
2501,,auto:water_too_small water_frac=0.1401 score=0.927
2733,,auto:water_too_small water_frac=0.10534 score=0.927
2991,,auto:water_too_small water_frac=0.14008 score=0.9275
2366,,auto:water_too_small water_frac=0.05069 score=0.9276
2682,,auto:water_too_small water_frac=0.12683 score=0.9278
1992,,auto:water_too_small water_frac=0.04155 score=0.9288
2091,,auto:water_too_small water_frac=0.10762 score=0.9291
0342,,auto:water_too_small water_frac=0.14379 score=0.9293
2192,,auto:water_too_small water_frac=0.12137 score=0.9293
1233,,auto:water_too_small water_frac=0.06987 score=0.9295
1206,,auto:water_too_small water_frac=0.11587 score=0.9296
0321,,auto:water_too_small water_frac=0.04458 score=0.9298
2311,,auto:water_too_small water_frac=0.09381 score=0.9299
0889,,auto:water_too_large water_frac=0.96501 score=0.9304
2962,,auto:water_too_large water_frac=0.9688 score=0.9306
0960,,auto:water_too_small water_frac=0.12145 score=0.9307
0873,,auto:water_too_small water_frac=0.08413 score=0.9309
0981,,auto:water_too_large water_frac=0.94957 score=0.931
2273,,auto:water_too_small water_frac=0.04059 score=0.931
0924,,auto:water_too_small water_frac=0.09766 score=0.9314
0420,,auto:water_too_small water_frac=0.14004 score=0.932
0986,,auto:water_too_small water_frac=0.09407 score=0.932
1843,,auto:water_too_small water_frac=0.10164 score=0.932
2151,,auto:water_too_small water_frac=0.12969 score=0.932
1799,,auto:water_too_small water_frac=0.07917 score=0.9321
2609,,auto:water_too_large water_frac=0.91783 score=0.9325
2793,,auto:water_too_large water_frac=0.95827 score=0.9331
2262,,auto:water_too_large water_frac=0.94551 score=0.9336
1251,,auto:water_too_small water_frac=0.14636 score=0.9337
0432,,auto:water_too_small water_frac=0.14962 score=0.9339
1311,,auto:water_too_small water_frac=0.11367 score=0.9339
2393,,auto:water_too_small water_frac=0.14798 score=0.9339
0180,,auto:water_too_large water_frac=0.96022 score=0.934
2420,,auto:water_too_small water_frac=0.05847 score=0.9341
0834,,auto:water_too_small water_frac=0.09335 score=0.9344
2027,,auto:water_too_small water_frac=0.09927 score=0.9345
0288,,auto:water_too_small water_frac=0.05793 score=0.9352
0997,,auto:water_too_small water_frac=0.03808 score=0.9353
2586,,auto:water_too_small water_frac=0.14753 score=0.9354
1349,,auto:water_too_small water_frac=0.12103 score=0.9356
0630,,auto:water_too_small water_frac=0.12175 score=0.9361
2969,,auto:water_too_small water_frac=0.07366 score=0.9361
1234,,auto:water_too_small water_frac=0.08185 score=0.9364
1797,,auto:water_too_small water_frac=0.11858 score=0.9364
0939,,auto:water_too_small water_frac=0.05812 score=0.9365
2675,,auto:water_too_large water_frac=0.96769 score=0.9365
1958,,auto:water_too_small water_frac=0.06836 score=0.9366
1023,,auto:water_too_large water_frac=0.9033 score=0.937
0041,,auto:water_too_large water_frac=0.97325 score=0.9371
0403,,auto:water_too_small water_frac=0.09205 score=0.9373
1040,,auto:water_too_small water_frac=0.07863 score=0.9382
2269,,auto:water_too_small water_frac=0.11846 score=0.9383
1454,,auto:water_too_small water_frac=0.13342 score=0.9387
0535,,auto:water_too_small water_frac=0.12627 score=0.9389
2680,,auto:water_too_small water_frac=0.10656 score=0.939
2959,,auto:water_too_small water_frac=0.07661 score=0.939
1116,,auto:water_too_small water_frac=0.13054 score=0.9393
2375,,auto:water_too_small water_frac=0.11501 score=0.9395
2064,,auto:water_too_large water_frac=0.90798 score=0.9397
0907,,auto:water_too_large water_frac=0.96244 score=0.9398
1903,,auto:water_too_large water_frac=0.94443 score=0.9399
2746,,auto:water_too_large water_frac=0.95676 score=0.9399
0490,,auto:water_too_small water_frac=0.13078 score=0.9407
2967,,auto:water_too_large water_frac=0.90922 score=0.9407
2970,,auto:water_too_small water_frac=0.13366 score=0.941
2669,,auto:water_too_small water_frac=0.14174 score=0.9411
2089,,auto:water_too_small water_frac=0.07354 score=0.9414
0683,,auto:water_too_small water_frac=0.13294 score=0.9415
1055,,auto:water_too_large water_frac=0.95008 score=0.9426
2480,,auto:water_too_small water_frac=0.12107 score=0.9426
0816,,auto:water_too_small water_frac=0.0961 score=0.9428
1841,,auto:water_too_small water_frac=0.06435 score=0.9429
0028,,auto:water_too_large water_frac=0.98534 score=0.9431
1677,,auto:water_too_small water_frac=0.06142 score=0.9432
0878,,auto:water_too_large water_frac=0.96625 score=0.9434
1437,,auto:water_too_small water_frac=0.04588 score=0.9434
2873,,auto:water_too_large water_frac=0.96769 score=0.9436
1609,,auto:water_too_small water_frac=0.12793 score=0.9439
2384,,auto:water_too_large water_frac=0.95011 score=0.9442
2692,,auto:water_too_small water_frac=0.14636 score=0.9443
2159,,auto:water_too_small water_frac=0.14507 score=0.9445
1836,,auto:water_too_small water_frac=0.13233 score=0.945
1964,,auto:water_too_large water_frac=0.93231 score=0.945
2924,,auto:water_too_small water_frac=0.14403 score=0.945
0223,,auto:water_too_large water_frac=0.91732 score=0.9452
2799,,auto:water_too_small water_frac=0.13664 score=0.9455
0412,,auto:water_too_small water_frac=0.0541 score=0.9458
1166,,auto:water_too_small water_frac=0.07691 score=0.9458
2315,,auto:water_too_small water_frac=0.14006 score=0.9459
2980,,auto:water_too_large water_frac=0.95798 score=0.9462
1526,,auto:water_too_small water_frac=0.10962 score=0.9464
0958,,auto:water_too_large water_frac=0.95787 score=0.9468
1409,,auto:water_too_large water_frac=0.95156 score=0.9468
2894,,auto:water_too_large water_frac=0.96553 score=0.9471
2821,,auto:water_too_large water_frac=0.95687 score=0.9472
0109,,auto:water_too_large water_frac=0.9387 score=0.9475
1090,,auto:water_too_small water_frac=0.12781 score=0.9477
2232,,auto:water_too_small water_frac=0.14114 score=0.9478
1859,,auto:water_too_small water_frac=0.14986 score=0.9479
1333,,auto:water_too_small water_frac=0.14737 score=0.9482
0415,,auto:water_too_small water_frac=0.06341 score=0.9484
2719,,auto:water_too_large water_frac=0.96209 score=0.9487
1560,,auto:water_too_small water_frac=0.14144 score=0.9488
2834,,auto:water_too_small water_frac=0.11436 score=0.9489
2039,,auto:water_too_large water_frac=0.91694 score=0.949
0330,,auto:water_too_large water_frac=0.9644 score=0.9491
2082,,auto:water_too_large water_frac=0.94274 score=0.9491
2284,,auto:water_too_small water_frac=0.10306 score=0.9494
2727,,auto:water_too_small water_frac=0.11264 score=0.9494
2143,,auto:water_too_large water_frac=0.90413 score=0.9495
0783,,auto:water_too_small water_frac=0.1474 score=0.9503
0993,,auto:water_too_small water_frac=0.14893 score=0.9513
0329,,auto:water_too_large water_frac=0.93988 score=0.9515
2332,,auto:water_too_small water_frac=0.11274 score=0.952
0916,,auto:water_too_large water_frac=0.95919 score=0.9522
1476,,auto:water_too_small water_frac=0.14168 score=0.9522
0663,,auto:water_too_small water_frac=0.10843 score=0.9523
1452,,auto:water_too_large water_frac=0.9267 score=0.9523
2014,,auto:water_too_small water_frac=0.12208 score=0.9523
2304,,auto:water_too_large water_frac=0.95018 score=0.9527
2918,,auto:water_too_large water_frac=0.96253 score=0.9527
2943,,auto:water_too_large water_frac=0.91695 score=0.9531
1218,,auto:water_too_small water_frac=0.12197 score=0.9532
1925,,auto:water_too_large water_frac=0.91804 score=0.9534
2940,,auto:water_too_large water_frac=0.96623 score=0.9539
0285,,auto:water_too_large water_frac=0.91455 score=0.954
2408,,auto:water_too_small water_frac=0.11446 score=0.9544
0751,,auto:water_too_small water_frac=0.13933 score=0.9545
2243,,auto:water_too_large water_frac=0.94509 score=0.9547
0804,,auto:water_too_large water_frac=0.91031 score=0.955
1787,,auto:water_too_large water_frac=0.94336 score=0.955
2826,,auto:water_too_small water_frac=0.0631 score=0.9551
0553,,auto:water_too_small water_frac=0.09829 score=0.9555
0395,,auto:water_too_small water_frac=0.09872 score=0.956
1034,,auto:water_too_large water_frac=0.92706 score=0.9564
2844,,auto:water_too_large water_frac=0.96322 score=0.9568
2549,,auto:water_too_large water_frac=0.9609 score=0.958
2900,,auto:water_too_large water_frac=0.95499 score=0.958
1221,,auto:water_too_small water_frac=0.07743 score=0.9584
2782,,auto:water_too_small water_frac=0.14394 score=0.9586
0229,,auto:water_too_large water_frac=0.96845 score=0.9587
2997,,auto:water_too_large water_frac=0.90654 score=0.959
1081,,auto:water_too_large water_frac=0.94602 score=0.9592
0221,,auto:water_too_large water_frac=0.98436 score=0.9595
0220,,auto:water_too_large water_frac=0.98064 score=0.9596
0262,,auto:water_too_large water_frac=0.92276 score=0.9598
0130,,auto:water_too_large water_frac=0.92506 score=0.9608
0064,,auto:water_too_large water_frac=0.93063 score=0.9609
1840,,auto:water_too_large water_frac=0.95849 score=0.9613
2093,,auto:water_too_small water_frac=0.09379 score=0.9616
0061,,auto:water_too_large water_frac=0.94278 score=0.9628
0219,,auto:water_too_large water_frac=0.97751 score=0.9631
0626,,auto:water_too_small water_frac=0.12619 score=0.9633
0634,,auto:water_too_small water_frac=0.14036 score=0.9639
0116,,auto:water_too_large water_frac=0.91323 score=0.9653
0224,,auto:water_too_large water_frac=0.98008 score=0.9654
0133,,auto:water_too_large water_frac=0.94795 score=0.9655
2005,,auto:water_too_large water_frac=0.93623 score=0.9655
0222,,auto:water_too_large water_frac=0.95456 score=0.9657
0271,,auto:water_too_large water_frac=0.93583 score=0.9657
0855,,auto:water_too_large water_frac=0.91148 score=0.9659
2283,,auto:water_too_large water_frac=0.94694 score=0.9662
2922,,auto:water_too_large water_frac=0.92164 score=0.9663
0049,,auto:water_too_large water_frac=0.9658 score=0.9665
0165,,auto:water_too_large water_frac=0.93637 score=0.9667
0408,,auto:water_too_small water_frac=0.13929 score=0.9676
0027,,auto:water_too_large water_frac=0.91013 score=0.9677
0101,,auto:water_too_large water_frac=0.91397 score=0.9678
0108,,auto:water_too_large water_frac=0.95827 score=0.9679
0169,,auto:water_too_large water_frac=0.93417 score=0.9684
0164,,auto:water_too_large water_frac=0.94153 score=0.9691
0141,,auto:water_too_large water_frac=0.91924 score=0.9692
0368,,auto:water_too_small water_frac=0.08726 score=0.9707
0228,,auto:water_too_large water_frac=0.96249 score=0.9715
0266,,auto:water_too_large water_frac=0.95419 score=0.9716
0286,,auto:water_too_large water_frac=0.91789 score=0.9718
0184,,auto:water_too_large water_frac=0.98598 score=0.972
0072,,auto:water_too_large water_frac=0.91411 score=0.9727
0074,,auto:water_too_large water_frac=0.96487 score=0.9728
0140,,auto:water_too_large water_frac=0.91138 score=0.9731
0106,,auto:water_too_large water_frac=0.97156 score=0.9736
0178,,auto:water_too_large water_frac=0.92759 score=0.9737
0147,,auto:water_too_large water_frac=0.90889 score=0.9738
0177,,auto:water_too_large water_frac=0.93297 score=0.9739
0043,,auto:water_too_large water_frac=0.97078 score=0.9745
0088,,auto:water_too_large water_frac=0.90127 score=0.975
0114,,auto:water_too_large water_frac=0.90768 score=0.9754
0364,,auto:water_too_small water_frac=0.11146 score=0.9758
0380,,auto:water_too_small water_frac=0.10356 score=0.9758
0063,,auto:water_too_large water_frac=0.98022 score=0.976
0001,,auto:water_too_large water_frac=0.91253 score=0.9768
0134,,auto:water_too_large water_frac=0.95826 score=0.9772
0179,,auto:water_too_large water_frac=0.9605 score=0.9772
0135,,auto:water_too_large water_frac=0.96573 score=0.9776
0142,,auto:water_too_large water_frac=0.91586 score=0.9777
0312,,auto:water_too_large water_frac=0.90786 score=0.9778
0325,,auto:water_too_large water_frac=0.96716 score=0.9779
0156,,auto:water_too_large water_frac=0.9065 score=0.978
0132,,auto:water_too_large water_frac=0.94701 score=0.9786
0117,,auto:water_too_large water_frac=0.95392 score=0.9787
0062,,auto:water_too_large water_frac=0.96518 score=0.9788
0137,,auto:water_too_large water_frac=0.96799 score=0.9788
0274,,auto:water_too_large water_frac=0.90652 score=0.979
0107,,auto:water_too_large water_frac=0.94874 score=0.9792
0059,,auto:water_too_large water_frac=0.96033 score=0.9797
0163,,auto:water_too_large water_frac=0.92337 score=0.9797
0160,,auto:water_too_large water_frac=0.91215 score=0.98
0327,,auto:water_too_large water_frac=0.9715 score=0.9803
0113,,auto:water_too_large water_frac=0.90128 score=0.9805
0119,,auto:water_too_large water_frac=0.92202 score=0.9806
0167,,auto:water_too_large water_frac=0.9213 score=0.9806
0183,,auto:water_too_large water_frac=0.98032 score=0.9808
0139,,auto:water_too_large water_frac=0.90442 score=0.9809
0118,,auto:water_too_large water_frac=0.95577 score=0.981
0131,,auto:water_too_large water_frac=0.94354 score=0.9812
0174,,auto:water_too_large water_frac=0.91782 score=0.9812
0073,,auto:water_too_large water_frac=0.95469 score=0.9813
0060,,auto:water_too_large water_frac=0.96759 score=0.9816
0162,,auto:water_too_large water_frac=0.91626 score=0.9816
0171,,auto:water_too_large water_frac=0.95426 score=0.9828
0057,,auto:water_too_large water_frac=0.93843 score=0.9832
0190,,auto:water_too_large water_frac=0.90773 score=0.9836
0326,,auto:water_too_large water_frac=0.97379 score=0.9843
0328,,auto:water_too_large water_frac=0.96809 score=0.9845
